NUMBER1,NUMBER2,NUMBER3,NUMBER4,NUMBER5,STAR1,STAR2,YEAR
7,22,25,43,49,6,7,2021
4,6,15,17,29,9,12,2021
2,26,28,34,41,5,10,2021
12,17,21,34,38,2,3,2021
1,2,15,30,35,2,7,2021
19,21,37,47,48,3,6,2021
11,21,33,38,42,2,8,2021
22,31,38,46,47,7,11,2021
21,22,29,32,46,9,10,2021
19,20,26,33,43,1,4,2021
1,20,41,42,50,3,7,2021
17,21,36,42,46,7,10,2021
22,26,38,47,50,2,6,2021
9,19,21,32,36,3,4,2021
2,9,15,47,50,6,9,2021
17,25,26,33,36,1,8,2021
2,12,25,30,41,8,11,2021
2,3,17,29,43,1,4,2021
10,15,28,32,49,3,9,2021
12,15,20,42,44,1,2,2021
12,17,22,33,39,2,12,2021
4,20,36,40,41,1,6,2021
21,26,31,34,49,2,5,2021
6,13,22,45,49,10,11,2021
1,10,23,42,46,3,5,2021
11,13,14,36,45,7,9,2021
1,15,19,26,48,6,12,2021
6,7,12,33,39,1,7,2021
2,12,20,27,41,10,12,2021
20,25,26,30,38,2,8,2021
5,7,8,10,34,1,9,2021
12,18,35,38,45,2,8,2021
1,6,7,18,28,2,8,2021
7,19,35,42,43,7,9,2021
5,7,13,29,35,3,7,2021
5,13,17,32,43,2,10,2021
2,3,31,46,50,8,12,2021
19,21,36,44,50,3,10,2021
3,9,19,20,23,9,11,2021
12,31,41,42,47,4,6,2021
6,12,44,47,49,8,12,2021
9,37,47,48,49,2,7,2021
7,14,21,26,32,4,12,2021
17,21,23,45,46,7,11,2021
10,23,33,35,37,5,10,2021
5,9,19,21,25,10,12,2021
23,24,26,34,50,2,4,2021
3,12,19,41,48,6,9,2021
5,16,42,47,49,3,11,2021
5,6,8,11,22,3,4,2021
6,19,36,37,49,4,11,2021
2,5,21,27,42,9,11,2021
9,14,29,38,49,7,10,2021
6,12,20,24,48,5,6,2021
1,29,30,33,36,3,12,2021
6,24,26,27,41,3,8,2021
11,20,27,30,41,3,5,2021
11,21,26,30,31,2,3,2021
9,17,21,33,39,7,11,2021
2,11,26,36,47,7,9,2021
7,20,36,40,46,2,4,2021
3,10,26,35,44,6,7,2021
11,13,16,34,40,1,12,2021
1,21,26,30,38,2,8,2021
2,9,13,15,35,3,10,2021
5,13,38,39,40,4,12,2021
6,16,18,29,38,6,11,2021
14,25,34,43,46,5,6,2021
14,22,33,38,47,8,9,2021
3,10,13,28,46,4,11,2021
1,16,24,28,46,2,11,2021
13,14,24,35,49,1,10,2021
3,14,15,19,29,2,8,2021
5,17,28,41,46,10,11,2021
6,11,29,40,48,5,9,2021
16,20,31,47,50,2,8,2021
2,8,32,35,44,8,11,2021
2,21,37,38,50,7,8,2021
4,21,34,40,47,2,5,2021
24,27,28,29,42,4,8,2021
10,12,37,49,50,3,8,2021
2,26,29,36,49,3,9,2021
3,9,35,43,44,1,10,2021
23,25,32,35,47,2,6,2021
4,6,9,11,44,10,11,2021
1,16,21,32,33,11,12,2021
4,5,39,46,48,7,10,2021
2,19,24,26,49,6,7,2021
6,12,22,29,33,6,11,2021
9,18,30,39,45,1,3,2021
4,12,25,46,48,7,12,2021
5,9,25,29,30,6,7,2021
7,23,30,32,36,8,12,2021
5,10,24,31,37,9,10,2021
12,19,37,44,45,2,6,2021
18,20,35,38,48,9,12,2021
1,5,27,36,42,1,6,2021
5,7,25,37,40,2,8,2021
8,16,42,44,47,6,7,2021
25,27,31,35,43,5,6,2021
4,10,27,38,40,3,11,2021
2,10,18,34,35,6,9,2021
18,23,37,41,42,4,6,2021
12,34,37,38,42,1,3,2021
16,28,32,44,48,1,9,2021
