NUMBER1,NUMBER2,NUMBER3,NUMBER4,NUMBER5,STAR1,STAR2,YEAR
4,8,22,23,48,1,12,2017
4,17,30,43,44,2,10,2017
5,24,30,31,43,3,6,2017
8,15,30,38,46,4,7,2017
25,30,31,42,50,2,11,2017
20,37,39,44,50,4,8,2017
4,22,30,32,34,3,4,2017
11,36,43,44,48,2,7,2017
5,24,29,35,46,11,12,2017
1,6,12,18,42,2,7,2017
19,24,28,30,50,3,10,2017
2,10,14,28,31,5,7,2017
20,26,35,36,42,5,12,2017
14,16,39,40,41,8,10,2017
13,22,29,36,37,1,9,2017
7,19,20,37,41,2,12,2017
5,12,17,33,41,4,9,2017
1,12,36,43,46,3,5,2017
3,16,23,32,39,1,4,2017
9,11,13,27,33,7,10,2017
4,17,23,27,30,3,8,2017
13,17,19,26,36,2,3,2017
23,29,37,45,50,5,11,2017
4,21,34,36,37,3,6,2017
1,9,15,19,25,1,7,2017
6,24,32,48,50,1,5,2017
7,18,19,32,48,3,7,2017
1,29,40,41,48,6,12,2017
6,11,31,39,42,1,3,2017
1,8,21,30,45,2,3,2017
13,18,37,44,49,9,12,2017
10,17,27,29,35,4,11,2017
9,24,42,47,49,1,5,2017
6,9,18,28,29,1,9,2017
3,7,8,14,49,5,8,2017
4,12,15,32,38,1,5,2017
1,5,7,15,47,9,12,2017
3,10,12,17,27,3,5,2017
2,24,39,42,45,2,8,2017
10,14,30,35,46,4,10,2017
18,28,39,46,48,5,12,2017
15,25,26,40,41,4,5,2017
29,30,36,40,41,2,9,2017
14,21,24,29,30,8,10,2017
5,9,29,31,41,2,4,2017
12,14,43,44,48,2,11,2017
1,8,9,26,49,5,9,2017
1,25,27,41,45,5,7,2017
11,14,20,21,47,7,10,2017
14,22,26,42,50,8,10,2017
11,20,35,37,45,3,6,2017
10,22,25,37,49,5,8,2017
17,35,39,47,50,6,8,2017
9,17,21,28,45,1,3,2017
3,4,21,31,38,3,7,2017
11,18,26,43,44,8,10,2017
15,17,38,41,42,9,12,2017
3,12,22,27,49,4,11,2017
9,20,27,39,43,10,11,2017
20,22,25,37,40,3,7,2017
8,10,24,33,42,3,9,2017
7,12,27,38,48,6,9,2017
5,7,26,36,39,2,10,2017
8,15,25,27,42,1,4,2017
9,11,12,19,30,4,9,2017
8,11,15,20,30,3,8,2017
2,20,28,29,44,3,9,2017
8,12,16,22,26,6,7,2017
3,7,30,35,43,1,3,2017
6,19,23,25,27,11,12,2017
14,20,25,30,39,2,8,2017
9,11,19,32,43,3,9,2017
2,13,16,22,49,4,5,2017
17,22,31,38,45,5,12,2017
4,14,20,23,33,6,10,2017
5,21,22,31,49,2,8,2017
2,10,19,35,50,6,7,2017
1,9,24,33,34,2,6,2017
17,24,26,28,45,4,12,2017
9,13,31,33,46,6,10,2017
2,17,21,27,34,5,9,2017
1,20,23,44,47,4,11,2017
6,10,19,29,36,3,9,2017
3,5,21,36,44,3,6,2017
31,36,38,47,49,8,11,2017
6,37,41,48,50,4,5,2017
2,11,29,30,47,1,12,2017
10,20,31,35,42,2,12,2017
2,4,13,22,43,8,9,2017
13,19,41,45,49,3,4,2017
19,25,33,36,48,2,9,2017
2,10,24,40,44,3,10,2017
7,21,26,35,43,2,9,2017
4,10,31,38,44,8,10,2017
3,4,15,46,50,5,9,2017
3,4,17,23,44,6,9,2017
17,20,28,45,48,5,9,2017
1,5,7,17,23,3,8,2017
10,17,27,31,49,3,5,2017
4,16,25,43,47,2,10,2017
3,7,16,26,50,4,7,2017
2,11,29,35,44,4,9,2017
10,14,18,21,49,9,11,2017
19,23,27,34,49,1,11,2017
